Code ,Area,Number_FLOE,First_Lang_Other_Eng_Percentage,Number_FLE,First_Lang_Eng_Percentage,Number_UN,Unclassified_Percentage,,,Number_FLOES,First_Lang_Other_Eng_Percentage_Sec,Number_FLES,First_Lang_Eng_Percentage_Sec,Number_UNS,Unclassified_Percentage_Sec,
B,North West,"47,500",10.3,"412,680",89.6,180,0,"460,360",,"31,530",7.1,"413,750",92.7,"1,070",0.2,"446,349"
D,Yorkshire and the Humber,"43,350",12.8,"294,710",87.1,240,0.1,"338,310",,"30,550",9,"307,360",90.7,"1,090",0.3,"338,993"
E,East Midlands,"26,290",9.2,"258,240",90.7,180,0.1,"284,700",,"20,850",7,"274,850",92.8,430,0.1,"296,135"
F,West Midlands,"60,890",16.7,"303,210",83.2,270,0.1,"364,370",,"45,800",12.4,"321,360",87.4,730,0.2,"367,891"
G,East,"28,980",8.3,"320,710",91.6,400,0.1,"350,080",,"23,110",5.9,"364,620",93.6,"1,640",0.4,"389,367"
H,London,"202,440",42,"278,640",57.8,670,0.1,"481,750",,"156,180",35.4,"281,380",63.8,"3,580",0.8,"441,135"
J,South East,"41,820",8.1,"474,690",91.8,480,0.1,"516,990",,"32,410",6.4,"475,930",93.3,"1,960",0.4,"510,301"
K,South West,"11,540",3.7,"298,010",96.2,350,0.1,"309,900",,"8,600",2.7,"313,980",97.1,730,0.2,"323,311"
,,,,,,,,,,,,,,,,
921,England,"470,080",14.4,"2,788,360",85.5,"2,840",0.1,"3,261,280",,"354,300",10.8,"2,921,430",88.9,"11,300",0.3,"3,287,030"
